

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
072.559  000.211  000.127: require('vim.treesitter.query')
073.194  000.103  000.103: require('vim.treesitter.languagetree')
073.231  000.261  000.158: require('vim.treesitter')
073.374  000.616  000.355: require('nvim-treesitter.parsers')
073.506  000.124  000.124: require('nvim-treesitter.utils')
073.511  000.853  000.113: require('nvim-treesitter.ts_utils')
073.518  000.956  000.103: require('nvim-treesitter.tsrange')
073.610  000.088  000.088: require('nvim-treesitter.caching')
073.649  001.410  000.155: require('nvim-treesitter.query')
073.667  001.550  000.139: require('nvim-treesitter.configs')
073.954  000.105  000.105: require('config.plugins.configs.bufferline')
074.074  027.931  008.895: require('config.main')
074.077  062.602  000.067: sourcing /Users/dNehrig/.config/nvim/init.lua
074.103  003.745: sourcing vimrc file(s)
076.422  000.029  000.029: sourcing /Users/dNehrig/.local/share/nvim/site/pack/packer/start/filetype.nvim/filetype.vim
077.022  000.036  000.036: sourcing /usr/local/Cellar/neovim/HEAD-a069e88/share/nvim/runtime/filetype.lua
077.603  000.086  000.086: sourcing /usr/local/Cellar/neovim/HEAD-a069e88/share/nvim/runtime/syntax/synload.vim
077.757  000.645  000.558: sourcing /usr/local/Cellar/neovim/HEAD-a069e88/share/nvim/runtime/syntax/syntax.vim
081.641  000.017  000.017: sourcing /usr/local/Cellar/neovim/HEAD-a069e88/share/nvim/runtime/plugin/gzip.vim
081.717  000.013  000.013: sourcing /usr/local/Cellar/neovim/HEAD-a069e88/share/nvim/runtime/plugin/health.vim
081.789  000.013  000.013: sourcing /usr/local/Cellar/neovim/HEAD-a069e88/share/nvim/runtime/plugin/matchit.vim
081.980  000.134  000.134: sourcing /usr/local/Cellar/neovim/HEAD-a069e88/share/nvim/runtime/plugin/matchparen.vim
082.061  000.016  000.016: sourcing /usr/local/Cellar/neovim/HEAD-a069e88/share/nvim/runtime/plugin/netrwPlugin.vim
082.329  000.010  000.010: sourcing /Users/dNehrig/.local/share/nvim/rplugin.vim
082.337  000.216  000.206: sourcing /usr/local/Cellar/neovim/HEAD-a069e88/share/nvim/runtime/plugin/rplugin.vim
082.456  000.060  000.060: sourcing /usr/local/Cellar/neovim/HEAD-a069e88/share/nvim/runtime/plugin/shada.vim
082.538  000.012  000.012: sourcing /usr/local/Cellar/neovim/HEAD-a069e88/share/nvim/runtime/plugin/spellfile.vim
082.613  000.014  000.014: sourcing /usr/local/Cellar/neovim/HEAD-a069e88/share/nvim/runtime/plugin/tarPlugin.vim
082.692  000.012  000.012: sourcing /usr/local/Cellar/neovim/HEAD-a069e88/share/nvim/runtime/plugin/tohtml.vim
082.774  000.019  000.019: sourcing /usr/local/Cellar/neovim/HEAD-a069e88/share/nvim/runtime/plugin/tutor.vim
082.876  000.034  000.034: sourcing /usr/local/Cellar/neovim/HEAD-a069e88/share/nvim/runtime/plugin/zipPlugin.vim
088.767  000.016  000.016: sourcing /usr/local/Cellar/neovim/HEAD-a069e88/share/nvim/runtime/plugin/matchparen.vim
089.562  000.304  000.304: sourcing /Users/dNehrig/.local/share/nvim/site/pack/packer/opt/vim-matchup/autoload/matchup.vim
090.116  000.093  000.093: sourcing /Users/dNehrig/.local/share/nvim/site/pack/packer/opt/vim-matchup/autoload/matchup/perf.vim
091.229  000.095  000.095: require('nvim-treesitter.info')
091.343  000.110  000.110: require('nvim-treesitter.shell_command_selectors')
091.364  000.372  000.167: require('nvim-treesitter.install')
091.458  000.090  000.090: require('nvim-treesitter.statusline')
091.555  000.094  000.094: require('nvim-treesitter.query_predicates')
091.558  000.657  000.100: require('nvim-treesitter')
091.561  000.762  000.106: require('treesitter-matchup')
091.912  001.187  000.425: sourcing /Users/dNehrig/.local/share/nvim/site/pack/packer/opt/vim-matchup/autoload/matchup/loader.vim
092.891  000.491  000.491: sourcing /Users/dNehrig/.local/share/nvim/site/pack/packer/opt/vim-matchup/autoload/matchup/matchparen.vim
093.578  009.143  007.052: sourcing /Users/dNehrig/.local/share/nvim/site/pack/packer/opt/vim-matchup/plugin/matchup.vim
093.965  000.129  000.129: require('alpha')
094.065  000.095  000.095: require('alpha.term')
094.691  000.618  000.618: require('alpha.themes.dashboard')
095.608  000.142  000.142: require('window-picker')
095.948  000.075  000.075: require('urlview.config')
096.028  000.076  000.076: require('urlview.config.constants')
096.043  000.247  000.096: require('urlview.utils')
096.045  000.335  000.088: require('urlview.actions')
096.329  000.115  000.115: require('urlview.search.helpers')
096.332  000.201  000.086: require('urlview.search')
096.430  000.091  000.091: require('urlview.search.validation')
096.434  000.387  000.094: require('urlview.command')
096.624  000.075  000.075: require('urlview.config.default')
096.626  000.158  000.083: require('urlview.config.helpers')
096.708  000.079  000.079: require('urlview.jump')
096.788  000.077  000.077: require('urlview.pickers')
096.798  001.173  000.137: require('urlview')
097.126  000.089  000.089: require('coverage.config')
097.212  000.083  000.083: require('coverage.signs')
097.293  000.077  000.077: require('coverage.highlight')
097.462  000.074  000.074: require('coverage.report')
097.725  000.091  000.091: require('plenary.strings')
097.728  000.180  000.088: require('plenary.window.border')
097.805  000.075  000.075: require('plenary.tbl')
097.808  000.343  000.089: require('plenary.window.float')
097.814  000.519  000.102: require('coverage.summary')
097.894  000.078  000.078: require('coverage.watch')
097.898  000.956  000.110: require('coverage')
098.228  000.084  000.084: require('telescope._extensions')
098.232  000.175  000.091: require('telescope')
098.592  000.194  000.194: require('plenary.log')
098.608  000.284  000.090: require('telescope.log')
098.707  000.092  000.092: require('telescope.state')
098.972  000.136  000.136: require('plenary.job')
098.982  000.272  000.136: require('telescope.utils')
099.254  000.078  000.078: require('telescope.deprecated')
099.358  000.101  000.101: require('telescope.sorters')
099.406  000.038  000.038: require('vim.inspect')
100.714  001.644  001.427: require('telescope.config')
100.718  001.734  000.090: require('telescope.actions.state')
100.831  000.104  000.104: require('telescope.actions.mt')
100.845  002.611  000.124: require('telescope.actions.set')
101.038  000.086  000.086: require('telescope.previewers.previewer')
101.218  000.078  000.078: require('telescope.from_entry')
101.308  000.267  000.189: require('telescope.previewers.term_previewer')
101.634  000.078  000.078: require('plenary.context_manager')
101.644  000.180  000.102: require('telescope.previewers.utils')
106.756  005.109  005.109: require('plenary.filetype')
106.827  005.516  000.227: require('telescope.previewers.buffer_previewer')
106.831  005.980  000.112: require('telescope.previewers')
107.221  000.081  000.081: require('plenary.window')
107.307  000.082  000.082: require('plenary.popup.utils')
107.312  000.276  000.114: require('plenary.popup')
107.400  000.085  000.085: require('telescope.pickers.scroller')
107.504  000.101  000.101: require('telescope.actions.utils')
107.683  000.087  000.087: require('telescope.config.resolve')
107.686  000.178  000.092: require('telescope.pickers.entry_display')
107.843  001.002  000.362: require('telescope.actions')
109.564  000.448  000.448: require('fzf_lib')
109.570  000.580  000.132: require('telescope._extensions.fzf')
110.238  000.080  000.080: require('plenary.vararg.rotate')
110.241  000.162  000.082: require('plenary.vararg')
110.318  000.075  000.075: require('plenary.errors')
110.322  000.326  000.089: require('plenary.async.async')
110.661  000.079  000.079: require('plenary.async.structs')
110.667  000.174  000.095: require('plenary.async.control')
110.673  000.272  000.098: require('plenary.async.util')
110.675  000.350  000.078: require('plenary.async.tests')
110.676  000.763  000.086: require('plenary.async')
